Year,Order,Fuel type,WPS,SPS,CCS,CAP,Speed
2020,0,,,,,,18
2021,0,,,,,,18
2022,0,,,,,,18
2023,0,,,,,,18
2024,0,,,,,,18
2025,0,,,,,,18
2026,0,,,,,,18
2027,0,,,,,,18
2028,0,,,,,,18
2029,0,,,,,,18
2030,0,,,,,,18
2031,0,,,,,,18
2032,0,,,,,,18
2033,0,,,,,,18
2034,0,,,,,,18
2035,0,,,,,,18
2036,0,,,,,,18
2037,0,,,,,,18
2038,1,LNG,0,0,0,15000,18
2039,0,,,,,,18
2040,0,,,,,,18
2041,0,,,,,,18
2042,0,,,,,,18
2043,0,,,,,,18
2044,0,,,,,,18
2045,0,,,,,,18
2046,0,,,,,,18
2047,0,,,,,,18
2048,0,,,,,,18
2049,0,,,,,,18
2050,0,,,,,,18
